"Yes","Sim"
"No","Não"
"Enabled","Ativo"
"Automated Cross Selling","Comprou Também"
"Ziny Extensions","Extensões Ziny"
"Settings","Definições"
"Setting","Definições"
"Active Style","Ativar Estilos"
"Who bought, also bought","Quem comprou, comprou também"
"Label Title","Título do Bloco"
"Number of Products","Total de Produtos"
"Add to Wishlist","Lista de Desejos"
"Add to Cart","Adicionar ao Carrinho"
"Display Price","Exibir Preço"
"Display Wishlist Link","Exibir Lista de Desejos"
"Display Compare Link","Exibir Comparação"
"Show Anyone","Mostrar Todos"
"Products Visibility","Visibilidade dos Produtos"
"Show the Not Visible Individually","Mostrar os Não Exibir Individualmente"
"Show the Catalog","Mostrar os em Catálogo"
"Show the Search","Mostrar os em Busca"
"Show the Catalog, Search","Mostrar os Catálogo, Busca"
"Enable this option only if the module layout does not work in your store.","Ative esta opção apenas se o layout do módulo não funcionar na sua loja."
"Use this option to filter the display of products.","Use essa opção para filtrar a exibição dos produtos."